emp_name,hours_worked,hourly_rate_emp,total_wage,total_tips,hourly_rate_avg,tips_avg,source
ARK POTOMAC SEQUOIA GRILL,573.0,5.0,2866.0,17064.0,34.78,29.78,ESSP
ARK POTOMAC SEQUOIA GRILL,402.0,5.0,2012.0,12775.0,36.78,31.78,ESSP
ARK POTOMAC SEQUOIA GRILL,447.0,5.0,2238.0,10885.0,29.36,24.35,ESSP
ARK POTOMAC SEQUOIA GRILL,315.0,5.0,1579.0,11046.0,40.08,35.07,ESSP
ARK POTOMAC SEQUOIA GRILL,334.0,5.0,1674.0,9716.0,34.1,29.09,ESSP
ARK POTOMAC SEQUOIA GRILL,303.0,5.0,1519.0,9642.0,36.83,31.82,ESSP
ARK POTOMAC SEQUOIA GRILL,368.0,5.0,1842.0,9780.0,31.58,26.58,ESSP
ARK POTOMAC SEQUOIA GRILL,410.0,5.0,2052.0,12894.0,36.45,31.45,ESSP
ARK POTOMAC SEQUOIA GRILL,974.0,5.0,487.0,3586.0,4.18,3.68,ESSP
ARK POTOMAC SEQUOIA GRILL,394.0,5.0,1974.0,11916.0,35.25,30.24,ESSP
ARK POTOMAC SEQUOIA GRILL,218.0,5.0,1091.0,7453.0,39.19,34.19,ESSP
ARK POTOMAC SEQUOIA GRILL,281.0,5.0,141.0,820.0,3.42,2.92,ESSP
ARK POTOMAC SEQUOIA GRILL,483.0,5.0,2420.0,10471.0,26.69,21.68,ESSP
ARK POTOMAC SEQUOIA GRILL,581.0,5.0,2908.0,15754.0,32.12,27.12,ESSP
ARK POTOMAC SEQUOIA GRILL,271.0,5.0,1357.0,5942.0,26.93,21.93,ESSP
ARK POTOMAC SEQUOIA GRILL,240.0,5.0,1202.0,5924.0,29.69,24.68,ESSP
ARK POTOMAC SEQUOIA GRILL,526.0,5.0,263.0,526.0,1.5,1.0,ESSP
ARK POTOMAC SEQUOIA GRILL,603.0,5.0,3015.0,19858.0,37.93,32.93,ESSP
ARK POTOMAC SEQUOIA GRILL,495.0,5.0,2480.0,11122.0,27.48,22.47,ESSP
ARK POTOMAC SEQUOIA GRILL,238.0,5.0,1194.0,6710.0,33.21,28.19,ESSP
ARK POTOMAC SEQUOIA GRILL,395.0,5.0,1978.0,11275.0,33.55,28.54,ESSP
ARK POTOMAC SEQUOIA GRILL,426.0,5.0,2134.0,12919.0,35.34,30.33,ESSP
ARK POTOMAC SEQUOIA GRILL,283.0,5.0,1418.0,9112.0,37.21,32.2,ESSP
ARK POTOMAC SEQUOIA GRILL,383.0,5.0,1916.0,10498.0,32.41,27.41,ESSP
ARK POTOMAC SEQUOIA GRILL,598.0,5.0,2993.0,21668.0,41.24,36.23,ESSP
ARK POTOMAC SEQUOIA GRILL,555.0,5.0,2777.0,15814.0,33.5,28.49,ESSP
ARK POTOMAC SEQUOIA GRILL,424.0,5.0,2121.0,12418.0,34.29,29.29,ESSP
ARK POTOMAC SEQUOIA GRILL,374.0,5.0,1872.0,8317.0,27.24,22.24,ESSP
ARK POTOMAC SEQUOIA GRILL,191.0,5.0,956.0,6196.0,37.45,32.44,ESSP
ARK POTOMAC SEQUOIA GRILL,399.0,5.0,1996.0,10140.0,30.42,25.41,ESSP
ARK POTOMAC SEQUOIA GRILL,247.0,8.0,198.0,234.0,1.75,0.95,ESSP
ARK POTOMAC SEQUOIA GRILL,558.0,5.0,2794.0,13326.0,28.89,23.88,ESSP
ARK POTOMAC SEQUOIA GRILL,855.0,5.0,428.0,2521.0,3.45,2.95,ESSP
ARK POTOMAC SEQUOIA GRILL,965.0,5.0,483.0,3824.0,4.46,3.96,ESSP
ARK POTOMAC SEQUOIA GRILL,527.0,5.0,2639.0,16136.0,35.63,30.62,ESSP
ARK POTOMAC SEQUOIA GRILL,304.0,7.98,2433.0,7620.0,33.07,25.07,ESSP
ARK POTOMAC SEQUOIA GRILL,371.0,5.0,186.0,1219.0,3.79,3.29,ESSP
ARK POTOMAC SEQUOIA GRILL,262.0,5.0,1315.0,6083.0,28.24,23.22,ESSP
THREE D CORPORATION,212.0,4.45,945.72,3169.54,19.41,14.95,ESSP
THREE D CORPORATION,552.0,9.0,4963.32,7856.3,23.22,14.23,ESSP
THREE D CORPORATION,171.0,4.45,756.9,6555.59,42.76,38.34,ESSP
THREE D CORPORATION,295.0,4.45,1382.21,6303.83,26.05,21.37,ESSP
THREE D CORPORATION,195.0,8.0,3827.7,2270.82,31.27,11.65,ESSP
THREE D CORPORATION,202.0,9.0,4246.37,2306.88,32.44,11.42,ESSP
THREE D CORPORATION,55.0,8.0,440.0,564.0,18.25,10.25,ESSP
THREE D CORPORATION,493.0,8.0,3971.0,4548.56,17.28,9.23,ESSP
THREE D CORPORATION,39.0,4.45,1043.92,870.41,49.09,22.32,ESSP
THREE D CORPORATION,255.0,4.45,1132.4,3345.39,17.56,13.12,ESSP
PIZZARIA UNO OF UNION STATION INC,300.0,12.38,3704.0,1803.0,18.36,6.01,ESSP
PIZZARIA UNO OF UNION STATION INC,11.0,12.77,138.0,24.0,14.73,2.18,ESSP
PIZZARIA UNO OF UNION STATION INC,2.0,25.5,37.0,1.0,19.0,0.5,ESSP
PIZZARIA UNO OF UNION STATION INC,452.0,17.0,7676.0,8946.0,36.77,19.79,ESSP
PIZZARIA UNO OF UNION STATION INC,206.0,9.95,2045.0,1153.0,15.52,5.6,ESSP
PIZZARIA UNO OF UNION STATION INC,386.0,5.0,1927.0,7291.0,23.88,18.89,ESSP
PIZZARIA UNO OF UNION STATION INC,106.0,5.4,567.0,1191.0,16.58,11.24,ESSP
PIZZARIA UNO OF UNION STATION INC,370.0,5.24,1940.0,7287.0,24.94,19.69,ESSP
PIZZARIA UNO OF UNION STATION INC,93.0,5.0,461.0,1366.0,19.65,14.69,ESSP
PIZZARIA UNO OF UNION STATION INC,101.0,5.28,533.0,1413.0,19.27,13.99,ESSP
PIZZARIA UNO OF UNION STATION INC,67.0,5.91,396.0,782.0,17.58,11.67,ESSP
PIZZARIA UNO OF UNION STATION INC,38.0,15.0,559.0,198.0,19.92,5.21,ESSP
"Hornblower Cruises and Events, LLC",13.0,7.7,99.0,140.0,18.38,10.77,ESSP
"Hornblower Cruises and Events, LLC",7.0,8.4,57.0,1537.0,227.71,219.57,ESSP
DON JUAN RESTAURANT INC,134.0,5.0,670.0,1452.81,15.84,10.84,ESSP
DON JUAN RESTAURANT INC,520.0,5.0,2600.0,5310.6,15.21,10.21,ESSP
DON JUAN RESTAURANT INC,113.0,5.0,565.0,1260.03,16.15,11.15,ESSP
DON JUAN RESTAURANT INC,480.0,5.13,2462.5,5274.13,16.12,10.99,ESSP
DON JUAN RESTAURANT INC,206.0,6.1,1257.0,2076.92,16.18,10.08,ESSP
DON JUAN RESTAURANT INC,314.0,5.04,1582.5,3657.27,16.69,11.65,ESSP
PMF INC,250.0,500.0,123.0,532.0,2.62,2.13,ESSP
PMF INC,135.0,500.0,673.0,4831.0,40.77,35.79,ESSP
PMF INC,260.0,500.0,130.0,652.0,3.01,2.51,ESSP
PMF INC,115.0,500.0,575.0,3576.0,36.1,31.1,ESSP
PMF INC,390.0,500.0,193.0,1132.0,3.4,2.9,ESSP
PMF INC,102.0,500.0,510.0,3202.0,36.39,31.39,ESSP
PMF INC,139.0,500.0,696.0,5005.0,41.01,36.01,ESSP
BRASIL INC,397.0,900.0,3573.0,1400.0,12.53,3.53,ESSP
BRASIL INC,154.0,500.0,770.0,1550.0,15.06,10.06,ESSP
BRASIL INC,560.0,500.0,2800.0,11700.0,25.89,20.89,ESSP
BRASIL INC,393.0,500.0,1965.0,7600.0,24.34,19.34,ESSP
BRASIL INC,472.0,500.0,2360.0,9900.0,25.97,20.97,ESSP
BRASIL INC,750.0,900.0,675.0,200.0,1.17,0.27,ESSP
BRASIL INC,509.0,900.0,4581.0,1750.0,12.44,3.44,ESSP
TAM HOUSE INCORPORATED,594.0,20.5,12181.23,1377.81,22.83,2.32,ESSP
TAM HOUSE INCORPORATED,331.0,15.0,4972.0,1377.81,19.18,4.16,ESSP
J.W.B. INC,319.0,500.0,1679.0,3969.0,17.71,12.44,ESSP
J.W.B. INC,238.0,375.0,3321.0,590.0,16.43,2.48,ESSP
J.W.B. INC,530.0,500.0,265.0,221.0,0.92,0.42,ESSP
J.W.B. INC,124.0,500.0,640.0,1300.0,15.65,10.48,ESSP
J.W.B. INC,760.0,500.0,380.0,763.0,1.5,1.0,ESSP
J.W.B. INC,670.0,500.0,335.0,911.0,1.86,1.36,ESSP
J.W.B. INC,573.0,375.0,8467.0,1325.0,17.09,2.31,ESSP
J.W.B. INC,564.0,500.0,3059.0,7583.0,18.87,13.45,ESSP
J.W.B. INC,373.0,500.0,1870.0,3283.0,13.82,8.8,ESSP
J.W.B. INC,280.0,500.0,164.0,101.0,0.95,0.36,ESSP
J.W.B. INC,170.0,500.0,851.0,2192.0,17.9,12.89,ESSP
J.W.B. INC,605.0,500.0,3349.0,7917.0,18.62,13.09,ESSP
J.W.B. INC,170.0,500.0,85.0,348.0,2.55,2.05,ESSP
J.W.B. INC,500.0,0.0,500.0,443.0,1.89,0.89,ESSP
J.W.B. INC,300.0,500.0,150.0,309.0,1.53,1.03,ESSP
J.W.B. INC,261.0,500.0,1303.0,3251.0,17.45,12.46,ESSP
J.W.B. INC,378.0,500.0,1933.0,6870.0,23.29,18.17,ESSP
J.W.B. INC,111.0,500.0,553.0,888.0,12.98,8.0,ESSP
J.W.B. INC,336.0,500.0,1729.0,10491.0,36.37,31.22,ESSP
J.W.B. INC,398.0,500.0,1996.0,5927.0,19.91,14.89,ESSP
J.W.B. INC,186.0,500.0,928.0,1486.0,12.98,7.99,ESSP
J.W.B. INC,590.0,500.0,293.0,1053.0,2.28,1.78,ESSP
J.W.B. INC,243.0,500.0,1214.0,6827.0,33.09,28.09,ESSP
J.W.B. INC,190.0,500.0,95.0,394.0,2.57,2.07,ESSP
J.W.B. INC,278.0,500.0,1390.0,7585.0,32.28,27.28,ESSP
J.W.B. INC,342.0,500.0,2288.0,3495.0,16.91,10.22,ESSP
