"","district","branch","yr_applied","mo_applied","product","population","poverty","price","count","loan_per_branch","agg_date","pop_wt","weighted_loans_bybranchprod","weighted_count_bybranchprod","hml_cookstove","hml_gobargas","hml_jumbostove","hml_solarlight"
"282","BangaloreRural","Hosakote",2018,8,"GreenwayJumboStoveGJS1",213838,15.7,396,19,7524,"2018-08-01",0.6036567,4541.913,11.46948,"Medium","Low","High","Low"
"283","BangaloreRural","Nelamangala",2017,10,"CookStove",163090,15.7,133,10,1330,"2017-10-01",0.460397,612.328,4.60397,"Medium","Low","High","Low"
"284","BangaloreRural","Nelamangala",2018,7,"SolarLight",163090,15.7,152,1,152,"2018-07-01",0.460397,69.98035,0.460397,"Medium","Low","High","Low"
"285","BangaloreRural","Nelamangala",2017,9,"SolarLight",163090,15.7,909,3,2727,"2017-09-01",0.460397,1255.503,1.381191,"Medium","Low","High","Low"
"286","BangaloreRural","Nelamangala",2018,2,"CookStove",163090,15.7,264.5,13.5,3570.75,"2018-02-01",0.460397,1643.963,6.21536,"Medium","Low","High","Low"
"287","BangaloreRural","Devanahalli",2017,8,"SolarLight",146705,15.7,588,1.5,882,"2017-08-01",0.4141428,365.2739,0.6212142,"Medium","Low","High","Low"
"288","BangaloreRural","Doddaballapur",2018,5,"CookStove",198546,15.7,396,46,18216,"2018-05-01",0.560488,10209.85,25.78245,"Medium","Low","High","Low"
"289","BangaloreRural","Doddaballapur",2015,2,"SolarLight",198546,15.7,294,1.4,411.6,"2015-02-01",0.560488,230.6969,0.7846832,"Medium","Low","High","Low"
"290","BangaloreRural","Hosakote",2018,9,"SolarLight",213838,15.7,283.75,1.25,354.6875,"2018-09-01",0.6036567,214.1095,0.7545709,"Medium","Low","High","Low"
"291","BangaloreRural","Hosakote",2015,12,"SolarLight",213838,15.7,300.5,3.5,1051.75,"2015-12-01",0.6036567,634.8959,2.112798,"Medium","Low","High","Low"
"292","BangaloreRural","Devanahalli",2017,9,"SolarLight",146705,15.7,250,1,250,"2017-09-01",0.4141428,103.5357,0.4141428,"Medium","Low","High","Low"
"293","BangaloreRural","Nelamangala",2018,9,"SolarLight",163090,15.7,50,1,50,"2018-09-01",0.460397,23.01985,0.460397,"Medium","Low","High","Low"
"294","BangaloreRural","Devanahalli",2015,1,"SolarLight",146705,15.7,10,1,10,"2015-01-01",0.4141428,4.141428,0.4141428,"Medium","Low","High","Low"
"295","BangaloreRural","Hosakote",2018,7,"CookStove",213838,15.7,396,26,10296,"2018-07-01",0.6036567,6215.25,15.69508,"Medium","Low","High","Low"
"296","BangaloreRural","Doddaballapur",2017,5,"CookStove",198546,15.7,264.5,20,5290,"2017-05-01",0.560488,2964.981,11.20976,"Medium","Low","High","Low"
"297","BangaloreRural","Hosakote",2014,8,"GobarGasPlant",213838,15.7,10,5,50,"2014-08-01",0.6036567,30.18284,3.018284,"Medium","Low","High","Low"
"298","BangaloreRural","Hosakote",2018,1,"CookStove",213838,15.7,396,36,14256,"2018-01-01",0.6036567,8605.73,21.73164,"Medium","Low","High","Low"
"299","BangaloreRural","Devanahalli",2016,6,"CookStove",146705,15.7,161,5,805,"2016-06-01",0.4141428,333.3849,2.070714,"Medium","Low","High","Low"
"300","BangaloreRural","Hosakote",2013,12,"GobarGasPlant",213838,15.7,349,3,1047,"2013-12-01",0.6036567,632.0286,1.81097,"Medium","Low","High","Low"
"301","BangaloreRural","Nelamangala",2015,2,"GobarGasPlant",163090,15.7,10,2,20,"2015-02-01",0.460397,9.20794,0.920794,"Medium","Low","High","Low"
"302","BangaloreRural","Hosakote",2016,7,"SolarLight",213838,15.7,236,1,236,"2016-07-01",0.6036567,142.463,0.6036567,"Medium","Low","High","Low"
"303","BangaloreRural","Nelamangala",2018,5,"SolarLight",163090,15.7,50,1,50,"2018-05-01",0.460397,23.01985,0.460397,"Medium","Low","High","Low"
"304","BangaloreRural","Nelamangala",2016,7,"SolarLight",163090,15.7,934,1,934,"2016-07-01",0.460397,430.0108,0.460397,"Medium","Low","High","Low"
"305","BangaloreRural","Hosakote",2015,6,"SolarLight",213838,15.7,934,2,1868,"2015-06-01",0.6036567,1127.631,1.207313,"Medium","Low","High","Low"
