branch,district,yr_applied,mo_applied,product,population,poverty,price,count,loan_per_branch,agg_date,pop_wt,weighted_loans_bybranchprod,weighted_count_bybranchprod
"Jamkhandi","Bagalkot",2016,9,"CookStove",298146,35.8,161,2,322,"2016-09-01",.8416551,271.0129,1.68331
"Jamkhandi","Bagalkot",2017,1,"CookStove",298146,35.8,161,16,2576,"2017-01-01",.8416551,2168.104,13.46648
"Jamkhandi","Bagalkot",2015,7,"CookStove",298146,35.8,301.5,4,1206,"2015-07-01",.8416551,1015.036,3.36662
"Jamkhandi","Bagalkot",2015,1,"CookStove",298146,35.8,161,116,18676,"2015-01-01",.8416551,15718.75,97.63199
"Jamkhandi","Bagalkot",2016,5,"CookStove",298146,35.8,161,108,17388,"2016-05-01",.8416551,14634.7,90.89875
"Jamkhandi","Bagalkot",2014,9,"GobarGasPlant",298146,35.8,349,1,349,"2014-09-01",.8416551,293.7376,.8416551
"Jamkhandi","Bagalkot",2015,5,"CookStove",298146,35.8,546,4,2184,"2015-05-01",.8416551,1838.175,3.36662
"Jamkhandi","Bagalkot",2015,10,"CookStove",298146,35.8,161,4,644,"2015-10-01",.8416551,542.0259,3.36662
"Jamkhandi","Bagalkot",2015,4,"CookStove",298146,35.8,504.75,1,504.75,"2015-04-01",.8416551,424.8254,.8416551
"Jamkhandi","Bagalkot",2014,12,"CookStove",298146,35.8,161,90,14490,"2014-12-01",.8416551,12195.58,75.74895
"Jamkhandi","Bagalkot",2017,12,"CookStove",298146,35.8,161,2,322,"2017-12-01",.8416551,271.0129,1.68331
"Jamkhandi","Bagalkot",2015,2,"CookStove",298146,35.8,161,73,11753,"2015-02-01",.8416551,9891.972,61.44082
"Jamkhandi","Bagalkot",2014,2,"GobarGasPlant",298146,35.8,10,10,100,"2014-02-01",.8416551,84.1655,8.416551
"Jamkhandi","Bagalkot",2018,8,"CookStove",298146,35.8,396,59,23364,"2018-08-01",.8416551,19664.43,49.65765
"Jamkhandi","Bagalkot",2015,6,"CookStove",298146,35.8,477.25,2.75,1312.438,"2015-06-01",.8416551,1104.62,2.314551
"Jamkhandi","Bagalkot",2016,7,"CookStove",298146,35.8,161,27,4347,"2016-07-01",.8416551,3658.675,22.72469
"Jamkhandi","Bagalkot",2015,9,"CookStove",298146,35.8,161,1,161,"2015-09-01",.8416551,135.5065,.8416551
"Jevargi","Gulbarga",2018,6,"SolarLight",271217,37.2,909,2,1818,"2018-06-01",.7656355,1391.925,1.531271
"Jevargi","Gulbarga",2018,8,"SolarLight",271217,37.2,407,1,407,"2018-08-01",.7656355,311.6136,.7656355
"Jevargi","Gulbarga",2018,9,"SolarLight",271217,37.2,346,2,692,"2018-09-01",.7656355,529.8198,1.531271
"Jevargi","Gulbarga",2018,1,"SolarLight",271217,37.2,216.6667,1,216.6667,"2018-01-01",.7656355,165.8877,.7656355
"Jevargi","Gulbarga",2018,7,"SolarLight",271217,37.2,479.5,2,959,"2018-07-01",.7656355,734.2444,1.531271
"Jevargi","Gulbarga",2018,2,"SolarLight",271217,37.2,198,3,594,"2018-02-01",.7656355,454.7875,2.296906
"Jevargi","Gulbarga",2017,12,"SolarLight",271217,37.2,435,1.666667,725,"2017-12-01",.7656355,555.0858,1.276059
"Jevargi","Gulbarga",2018,4,"SolarLight",271217,37.2,422,1,422,"2018-04-01",.7656355,323.0982,.7656355
"Kadur","Chikmagalur",2015,11,"SolarLight",234794,14.7,354,2.375,840.75,"2015-11-01",.6628147,557.2615,1.574185
"Kadur","Chikmagalur",2014,10,"SolarLight",234794,14.7,316.8571,1.857143,588.449,"2014-10-01",.6628147,390.0327,1.230942
"Kadur","Chikmagalur",2015,2,"GobarGasPlant",234794,14.7,240,1,240,"2015-02-01",.6628147,159.0755,.6628147
"Kadur","Chikmagalur",2016,4,"SolarLight",234794,14.7,312.2,1.4,437.08,"2016-04-01",.6628147,289.7031,.9279406
"Kadur","Chikmagalur",2014,4,"SolarLight",234794,14.7,394.7,3.8,1499.86,"2014-04-01",.6628147,994.1293,2.518696
"Kadur","Chikmagalur",2015,2,"SolarLight",234794,14.7,385.8333,3,1157.5,"2015-02-01",.6628147,767.2081,1.988444
"Kadur","Chikmagalur",2018,1,"CookStove",234794,14.7,264.5,11,2909.5,"2018-01-01",.6628147,1928.459,7.290962
"Kadur","Chikmagalur",2014,5,"SolarLight",234794,14.7,320.2,3.1,992.62,"2014-05-01",.6628147,657.9232,2.054726
"Kadur","Chikmagalur",2017,9,"SolarLight",234794,14.7,586.5,1,586.5,"2017-09-01",.6628147,388.7408,.6628147
"Kadur","Chikmagalur",2018,3,"SolarLight",234794,14.7,173,1,173,"2018-03-01",.6628147,114.6669,.6628147
"Kadur","Chikmagalur",2015,3,"GobarGasPlant",234794,14.7,349,1.5,523.5,"2015-03-01",.6628147,346.9835,.9942221
"Kadur","Chikmagalur",2017,1,"SolarLight",234794,14.7,585,4,2340,"2017-01-01",.6628147,1550.986,2.651259
"Kadur","Chikmagalur",2018,3,"CookStove",234794,14.7,264.5,6.5,1719.25,"2018-03-01",.6628147,1139.544,4.308296
"Kadur","Chikmagalur",2013,3,"GobarGasPlant",234794,14.7,10,3,30,"2013-03-01",.6628147,19.88444,1.988444
"Kadur","Chikmagalur",2016,3,"CookStove",234794,14.7,161,38,6118,"2016-03-01",.6628147,4055.101,25.18696
"Kadur","Chikmagalur",2018,5,"SolarLight",234794,14.7,153,1,153,"2018-05-01",.6628147,101.4107,.6628147
"Kadur","Chikmagalur",2017,6,"CookStove",234794,14.7,133,58,7714,"2017-06-01",.6628147,5112.953,38.44326
"Kadur","Chikmagalur",2013,2,"SolarLight",234794,14.7,297,2.625,779.625,"2013-02-01",.6628147,516.7469,1.739889
"Kadur","Chikmagalur",2015,1,"CookStove",234794,14.7,301.5,17.5,5276.25,"2015-01-01",.6628147,3497.176,11.59926
"Kadur","Chikmagalur",2015,5,"SolarLight",234794,14.7,210.5,1.25,263.125,"2015-05-01",.6628147,174.4031,.8285184
"Kadur","Chikmagalur",2018,8,"SolarLight",234794,14.7,395.7143,10.28571,4070.204,"2018-08-01",.6628147,2697.791,6.817523
"Kadur","Chikmagalur",2016,10,"SolarLight",234794,14.7,10,1,10,"2016-10-01",.6628147,6.628147,.6628147
"Kadur","Chikmagalur",2015,10,"CookStove",234794,14.7,161,58,9338,"2015-10-01",.6628147,6189.364,38.44326
"Kadur","Chikmagalur",2016,11,"SolarLight",234794,14.7,193,1,193,"2016-11-01",.6628147,127.9232,.6628147
"Kadur","Chikmagalur",2016,5,"SolarLight",234794,14.7,377,2.75,1036.75,"2016-05-01",.6628147,687.1732,1.822741
"Kadur","Chikmagalur",2016,2,"SolarLight",234794,14.7,358.5,1.833333,657.25,"2016-02-01",.6628147,435.635,1.21516
"Kadur","Chikmagalur",2018,8,"CookStove",234794,14.7,396,31,12276,"2018-08-01",.6628147,8136.714,20.54726
"Kadur","Chikmagalur",2018,2,"CookStove",234794,14.7,133,11,1463,"2018-02-01",.6628147,969.6979,7.290962
"Kadur","Chikmagalur",2013,2,"GobarGasPlant",234794,14.7,178,2,356,"2013-02-01",.6628147,235.9621,1.325629
"Kadur","Chikmagalur",2015,1,"GobarGasPlant",234794,14.7,479,1,479,"2015-01-01",.6628147,317.4883,.6628147
"Kadur","Chikmagalur",2017,8,"CookStove",234794,14.7,264.5,22,5819,"2017-08-01",.6628147,3856.919,14.58192
"Kadur","Chikmagalur",2015,12,"SolarLight",234794,14.7,313,2.555556,799.8889,"2015-12-01",.6628147,530.1782,1.69386
"Kadur","Chikmagalur",2017,4,"SolarLight",234794,14.7,236,1,236,"2017-04-01",.6628147,156.4243,.6628147
