"","Region","Year","specialization","seats"
"618","Central",2006,"physiology",7
"619","Central",2007,"physiology",7
"620","Central",2008,"physiology",7
"621","Central",2009,"physiology",7
"622","Central",2010,"physiology",7
"623","Central",2011,"physiology",12
"624","Central",2012,"physiology",12
"625","Central",2013,"physiology",14
"626","Central",2014,"physiology",15
"627","Central",2015,"physiology",17
"628","Central",2016,"physiology",17
"629","Central",2017,"physiology",17
"630","Central",2018,"physiology",21
"631","Central",1998,"plastic",0
"632","Central",1999,"plastic",0
"633","Central",2000,"plastic",0
"634","Central",2001,"plastic",0
"635","Central",2002,"plastic",0
"636","Central",2003,"plastic",0
"637","Central",2004,"plastic",0
"638","Central",2005,"plastic",0
"639","Central",2006,"plastic",0
"640","Central",2007,"plastic",0
"641","Central",2008,"plastic",0
"642","Central",2009,"plastic",0
"643","Central",2010,"plastic",0
"644","Central",2011,"plastic",0
"645","Central",2012,"plastic",0
"646","Central",2013,"plastic",0
"647","Central",2014,"plastic",0
"648","Central",2015,"plastic",0
"649","Central",2016,"plastic",0
"650","Central",2017,"plastic",0
"651","Central",2018,"plastic",0
"652","Central",1998,"psych",0
"653","Central",1999,"psych",0
"654","Central",2000,"psych",0
"655","Central",2001,"psych",0
"656","Central",2002,"psych",0
"657","Central",2003,"psych",0
"658","Central",2004,"psych",0
"659","Central",2005,"psych",0
"660","Central",2006,"psych",0
"661","Central",2007,"psych",0
"662","Central",2008,"psych",0
"663","Central",2009,"psych",0
"664","Central",2010,"psych",0
"665","Central",2011,"psych",0
"666","Central",2012,"psych",0
"667","Central",2013,"psych",0
"668","Central",2014,"psych",0
"669","Central",2015,"psych",0
"670","Central",2016,"psych",0
"671","Central",2017,"psych",0
"672","Central",2018,"psych",0
"673","Central",1998,"public_health",25
"674","Central",1999,"public_health",25
"675","Central",2000,"public_health",25
"676","Central",2001,"public_health",25
"677","Central",2002,"public_health",25
"678","Central",2003,"public_health",25
"679","Central",2004,"public_health",25
"680","Central",2005,"public_health",25
"681","Central",2006,"public_health",21
"682","Central",2007,"public_health",21
"683","Central",2008,"public_health",21
"684","Central",2009,"public_health",21
"685","Central",2010,"public_health",21
"686","Central",2011,"public_health",21
"687","Central",2012,"public_health",21
"688","Central",2013,"public_health",23
"689","Central",2014,"public_health",23
"690","Central",2015,"public_health",23
